scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,13.75,-1.25,-2.5,2.5
case_000_davis_crescent_t1,ambiguous,0.7654,30.0,27.5,-18.75,18.75
scn_0001_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,trivial,0.0,1.5,3.25,2.5,-2.5
scn_0003_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0004_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,ambiguous,0.7145,1.25,-13.75,-31.25,31.25
scn_0006_twilight_civil,moderate,0.4816,3.75,-8.75,-2.5,2.5
scn_0007_daylight_gibbous,trivial,0.0,10.0,-6.25,-32.5,32.5
scn_0008_night_easy_visible,trivial,0.0,-0.25,-0.25,0.0,0.0
scn_0009_night_marginal,ambiguous,0.7214,3.75,-3.75,-23.75,23.75
scn_0010_night_marginal,trivial,0.0,-3.75,-2.75,-0.5,0.5
scn_0011_twilight_astronomical,trivial,0.0,-0.25,-0.25,-0.25,0.25
scn_0012_daylight_gibbous,trivial,0.0,1.25,-2.5,3.75,-3.75
scn_0013_daylight_thin_crescent,ambiguous,0.9558,-15.0,-13.75,-24.25,24.25
scn_0014_daylight_moderate,moderate,0.615,22.5,12.5,-13.75,13.75
scn_0015_daylight_moderate,moderate,0.6604,2.5,12.5,-43.75,43.75
scn_0016_daylight_thin_crescent,moderate,0.5041,1.75,-0.2250000000000001,-0.95,0.95
scn_0017_twilight_civil,moderate,0.6911,33.75,15.75,29.25,-29.25
scn_0018_daylight_gibbous,trivial,0.0,7.5,-2.5,-36.25,36.25
scn_0019_daylight_thin_crescent,moderate,0.6208,-2.5,0.0,-2.25,2.25
scn_0020_daylight_moderate,moderate,0.4292,1.25,-7.5,-12.25,12.25
scn_0021_daylight_moderate,trivial,0.0,-2.5,-3.75,0.0,0.0
scn_0022_twilight_nautical,moderate,0.4751,1.25,-1.25,6.25,-6.25
scn_0023_daylight_thin_crescent,easy,0.2219,4.0,-1.5,-1.25,1.25
scn_0024_daylight_near_sun_extreme,trivial,0.0,1.3877787807814457e-17,0.0,0.0,0.0
scn_0025_daylight_near_sun_extreme,trivial,0.0,0.0,-0.0225,-0.02475,0.02475
scn_0026_daylight_thin_crescent,moderate,0.4297,17.5,0.0,-7.75,7.75
scn_0027_twilight_civil,trivial,0.0,0.0,-0.75,0.0,0.0
scn_0028_twilight_astronomical,trivial,0.0,-0.75,-0.75,1.25,-1.25
scn_0029_twilight_nautical,trivial,0.0,0.0,0.22499999999999432,0.22499999999999432,-0.22499999999999432
scn_0030_daylight_thin_crescent,easy,0.2305,-0.25,-0.825,-0.475,0.475
