scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,0.0,0.0,-20.0,20.0
case_000_davis_crescent_t1,ambiguous,0.7654,12.5,-1.25,-15.0,15.0
scn_0001_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,trivial,0.0,-0.75,0.0,0.0,0.0
scn_0003_trivial_invisible,trivial,0.0,0.0,0.025,0.05,-0.05
scn_0004_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,ambiguous,0.7145,-1.25,-5.0,1.25,-1.25
scn_0006_twilight_civil,moderate,0.4816,3.75,-11.25,-6.25,6.25
scn_0007_daylight_gibbous,trivial,0.0,-2.5,-7.5,-2.5,2.5
scn_0008_night_easy_visible,trivial,0.0,0.75,-0.75,0.75,-0.75
scn_0009_night_marginal,ambiguous,0.7214,1.25,-13.75,5.0,-5.0
scn_0010_night_marginal,trivial,0.0,-1.25,-5.0,-2.5,2.5
scn_0011_twilight_astronomical,trivial,0.0,-1.75,-0.25,-1.0,1.0
scn_0012_daylight_gibbous,trivial,0.0,-1.25,0.75,0.0,0.0
scn_0013_daylight_thin_crescent,ambiguous,0.9558,1.25,-5.0,-31.25,31.25
scn_0014_daylight_moderate,moderate,0.615,5.0,-1.25,6.25,-6.25
scn_0015_daylight_moderate,moderate,0.6604,0.0,-6.25,-1.25,1.25
scn_0016_daylight_thin_crescent,moderate,0.5041,1.25,18.25,-2.0,2.0
scn_0017_twilight_civil,moderate,0.6911,-5.0,6.25,-10.0,10.0
scn_0018_daylight_gibbous,trivial,0.0,-3.75,-3.75,0.0,0.0
scn_0019_daylight_thin_crescent,moderate,0.6208,11.25,-5.0,-26.25,26.25
scn_0020_daylight_moderate,moderate,0.4292,-3.75,-10.0,-22.5,22.5
scn_0021_daylight_moderate,trivial,0.0,-2.5,-2.5,1.25,-1.25
scn_0022_twilight_nautical,moderate,0.4751,-8.75,-18.75,-5.0,5.0
scn_0023_daylight_thin_crescent,easy,0.2219,-2.5,2.5,4.0,-4.0
scn_0024_daylight_near_sun_extreme,trivial,0.0,0.0,-0.44999999999999996,0.0,0.0
scn_0025_daylight_near_sun_extreme,trivial,0.0,0.0,-0.22499999999999998,0.0,0.0
scn_0026_daylight_thin_crescent,moderate,0.4297,1.25,1.25,0.0,0.0
scn_0027_twilight_civil,trivial,0.0,0.0,0.0,0.0,0.0
scn_0028_twilight_astronomical,trivial,0.0,-2.5,0.0,1.5,-1.5
scn_0029_twilight_nautical,trivial,0.0,-1.25,-0.25,-1.0,1.0
scn_0030_daylight_thin_crescent,easy,0.2305,2.0,2.375,22.0,-22.0
